"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,-3579.2,0,0,4254,0,0,-0.0035792,0,0,0.004254,16.267,-5.3189,0.0019539,0,-0.031437,-0.06656,0,-9.8507,1168.8,0,12.445,975.55,0,-1.2379e-05,0.0014688,0,1.5639e-05,0.0012259,0,1.3541e-06,1.1393e-06,7,1,0.00185,0.00185,0,0
0,0,-3675.4,0,0,4369.4,0,0,-0.0036754,0,0,0.0043694,16.832,-5.4626,0.002004,0,-0.031969,-0.068359,0,-10.008,1169,0,12.646,975.27,0,-1.2577e-05,0.0014691,0,1.5891e-05,0.0012256,0,1.3908e-06,1.1699e-06,7,1,0.0019,0.0019,0,0
0,0,-3771.7,0,0,4484.8,0,0,-0.0037717,0,0,0.0044848,17.397,-5.6063,0.0020541,0,-0.032501,-0.070158,0,-10.166,1169.3,0,12.846,975,0,-1.2775e-05,0.0014694,0,1.6143e-05,0.0012252,0,1.4276e-06,1.2006e-06,7,1,0.00195,0.00195,0,0
0,0,-3867.9,0,0,4600.2,0,0,-0.0038679,0,0,0.0046002,17.963,-5.7501,0.0021042,0,-0.033033,-0.071957,0,-10.323,1169.5,0,13.047,974.72,0,-1.2973e-05,0.0014696,0,1.6395e-05,0.0012249,0,1.4643e-06,1.2312e-06,7,1,0.002,0.002,0,0
0,0,-3964.1,0,0,4715.6,0,0,-0.0039641,0,0,0.0047156,18.528,-5.8938,0.0021544,0,-0.033565,-0.073756,0,-10.481,1169.7,0,13.247,974.45,0,-1.3171e-05,0.0014699,0,1.6647e-05,0.0012245,0,1.501e-06,1.2618e-06,7,1,0.00205,0.00205,0,0
0,0,-4060.3,0,0,4831,0,0,-0.0040603,0,0,0.004831,19.093,-6.0376,0.0022045,0,-0.034097,-0.075555,0,-10.639,1170,0,13.448,974.17,0,-1.3369e-05,0.0014702,0,1.6899e-05,0.0012242,0,1.5378e-06,1.2924e-06,7,1,0.0021,0.0021,0,0
0,0,-4156.6,0,0,4946.4,0,0,-0.0041566,0,0,0.0049464,19.658,-6.1813,0.0022546,0,-0.034629,-0.077354,0,-10.796,1170.2,0,13.648,973.9,0,-1.3567e-05,0.0014705,0,1.7151e-05,0.0012238,0,1.5745e-06,1.3231e-06,7,1,0.00215,0.00215,0,0
0,0,-4252.8,0,0,5061.8,0,0,-0.0042528,0,0,0.0050618,20.224,-6.325,0.0023047,0,-0.035161,-0.079153,0,-10.954,1170.4,0,13.849,973.62,0,-1.3765e-05,0.0014708,0,1.7403e-05,0.0012235,0,1.6112e-06,1.3537e-06,7,1,0.0022,0.0022,0,0
0,0,-4349,0,0,5177.2,0,0,-0.004349,0,0,0.0051772,20.789,-6.4688,0.0023548,0,-0.035693,-0.080952,0,-11.111,1170.7,0,14.049,973.35,0,-1.3963e-05,0.0014711,0,1.7655e-05,0.0012231,0,1.6479e-06,1.3843e-06,7,1,0.00225,0.00225,0,0
0,0,-4445.2,0,0,5292.6,0,0,-0.0044452,0,0,0.0052926,21.354,-6.6125,0.002405,0,-0.036226,-0.082751,0,-11.269,1170.9,0,14.25,973.07,0,-1.4161e-05,0.0014714,0,1.7907e-05,0.0012228,0,1.6847e-06,1.415e-06,7,1,0.0023,0.0023,0,0
0,0,-4541.4,0,0,5408,0,0,-0.0045414,0,0,0.005408,21.919,-6.7563,0.0024551,0,-0.036758,-0.08455,0,-11.426,1171.1,0,14.45,972.8,0,-1.4359e-05,0.0014717,0,1.8158e-05,0.0012225,0,1.7214e-06,1.4456e-06,7,1,0.00235,0.00235,0,0
0,0,-4637.7,0,0,5523.4,0,0,-0.0046377,0,0,0.0055234,22.485,-6.9,0.0025052,0,-0.03729,-0.086349,0,-11.584,1171.3,0,14.651,972.52,0,-1.4557e-05,0.001472,0,1.841e-05,0.0012221,0,1.7581e-06,1.4762e-06,7,1,0.0024,0.0024,0,0
0,0,-4733.9,0,0,5638.8,0,0,-0.0047339,0,0,0.0056388,23.05,-7.0437,0.0025553,0,-0.037822,-0.088148,0,-11.742,1171.6,0,14.851,972.25,0,-1.4755e-05,0.0014722,0,1.8662e-05,0.0012218,0,1.7949e-06,1.5068e-06,7,1,0.00245,0.00245,0,0
0,0,-4829.2,0,0,5755,0,0,-0.0048292,0,0,0.005755,24.279,-7.1875,0.0026728,0,-0.040027,-0.092109,0,-11.948,1171.9,0,15.119,971.88,0,-1.5014e-05,0.0014726,0,1.8999e-05,0.0012213,0,1.8319e-06,1.5372e-06,7,1,0.0025,0.0025,0,0
0,0,-4923.9,0,0,5871.7,0,0,-0.0049239,0,0,0.0058717,25.918,-7.3314,0.0028316,0,-0.043263,-0.097403,0,-12.185,1172.2,0,15.429,971.46,0,-1.5312e-05,0.0014731,0,1.9389e-05,0.0012208,0,1.869e-06,1.5673e-06,7,1,0.00255,0.00255,0,0
0,0,-5018.7,0,0,5988.4,0,0,-0.0050187,0,0,0.0059884,27.557,-7.4752,0.0029905,0,-0.046498,-0.1027,0,-12.421,1172.6,0,15.739,971.03,0,-1.5609e-05,0.0014735,0,1.9778e-05,0.0012202,0,1.9062e-06,1.5975e-06,7,1,0.0026,0.0026,0,0
0,0,-5113.4,0,0,6105.1,0,0,-0.0051134,0,0,0.0061051,29.196,-7.619,0.0031494,0,-0.049734,-0.10799,0,-12.658,1173,0,16.049,970.61,0,-1.5907e-05,0.001474,0,2.0168e-05,0.0012197,0,1.9433e-06,1.6277e-06,7,1,0.00265,0.00265,0,0
0,0,-5208.2,0,0,6221.8,0,0,-0.0052082,0,0,0.0062218,30.835,-7.7628,0.0033083,0,-0.05297,-0.11328,0,-12.895,1173.3,0,16.359,970.18,0,-1.6204e-05,0.0014745,0,2.0557e-05,0.0012192,0,1.9805e-06,1.6578e-06,7,1,0.0027,0.0027,0,0
0,0,-5302.9,0,0,6338.5,0,0,-0.0053029,0,0,0.0063385,32.474,-7.9067,0.0034672,0,-0.056206,-0.11858,0,-13.132,1173.7,0,16.669,969.75,0,-1.6502e-05,0.0014749,0,2.0946e-05,0.0012186,0,2.0176e-06,1.688e-06,7,1,0.00275,0.00275,0,0
0,0,-5397.7,0,0,6455.2,0,0,-0.0053977,0,0,0.0064552,34.113,-8.0505,0.003626,0,-0.059442,-0.12387,0,-13.368,1174.1,0,16.978,969.33,0,-1.6799e-05,0.0014754,0,2.1336e-05,0.0012181,0,2.0548e-06,1.7181e-06,7,1,0.0028,0.0028,0,0
0,0,-5492.4,0,0,6571.9,0,0,-0.0054924,0,0,0.0065719,35.752,-8.1943,0.0037849,0,-0.062677,-0.12916,0,-13.605,1174.4,0,17.288,968.9,0,-1.7096e-05,0.0014758,0,2.1725e-05,0.0012176,0,2.0919e-06,1.7483e-06,7,1,0.00285,0.00285,0,0
0,0,-5587.2,0,0,6688.6,0,0,-0.0055872,0,0,0.0066886,37.391,-8.3381,0.0039438,0,-0.065913,-0.13446,0,-13.842,1174.8,0,17.598,968.48,0,-1.7394e-05,0.0014763,0,2.2115e-05,0.001217,0,2.1291e-06,1.7784e-06,7,1,0.0029,0.0029,0,0
0,0,-5681.9,0,0,6805.3,0,0,-0.0056819,0,0,0.0068053,39.03,-8.482,0.0041027,0,-0.069149,-0.13975,0,-14.078,1175.1,0,17.908,968.05,0,-1.7691e-05,0.0014767,0,2.2504e-05,0.0012165,0,2.1662e-06,1.8086e-06,7,1,0.00295,0.00295,0,0
0,0,-5776.6,0,0,6922,0,0,-0.0057766,0,0,0.006922,40.669,-8.6258,0.0042616,0,-0.072385,-0.14505,0,-14.315,1175.5,0,18.218,967.63,0,-1.7989e-05,0.0014772,0,2.2893e-05,0.001216,0,2.2034e-06,1.8388e-06,7,1,0.003,0.003,0,0
0,0,-5871.4,0,0,7038.8,0,0,-0.0058714,0,0,0.0070388,42.308,-8.7696,0.0044205,0,-0.07562,-0.15034,0,-14.552,1175.9,0,18.528,967.2,0,-1.8286e-05,0.0014776,0,2.3283e-05,0.0012154,0,2.2405e-06,1.8689e-06,7,1,0.00305,0.00305,0,0
0,0,-5966.1,0,0,7155.5,0,0,-0.0059661,0,0,0.0071555,43.947,-8.9134,0.0045793,0,-0.078856,-0.15563,0,-14.788,1176.2,0,18.838,966.78,0,-1.8583e-05,0.0014781,0,2.3672e-05,0.0012149,0,2.2777e-06,1.8991e-06,7,1,0.0031,0.0031,0,0
0,0,-6060.9,0,0,7272.2,0,0,-0.0060609,0,0,0.0072722,45.586,-9.0573,0.0047382,0,-0.082092,-0.16093,0,-15.025,1176.6,0,19.148,966.35,0,-1.8881e-05,0.0014786,0,2.4062e-05,0.0012144,0,2.3148e-06,1.9292e-06,7,1,0.00315,0.00315,0,0
0,0,-6155.6,0,0,7388.9,0,0,-0.0061556,0,0,0.0073889,47.225,-9.2011,0.0048971,0,-0.085328,-0.16622,0,-15.262,1177,0,19.458,965.92,0,-1.9178e-05,0.001479,0,2.4451e-05,0.0012138,0,2.352e-06,1.9594e-06,7,1,0.0032,0.0032,0,0
0,0,-6250.4,0,0,7505.6,0,0,-0.0062504,0,0,0.0075056,48.864,-9.3449,0.005056,0,-0.088564,-0.17151,0,-15.498,1177.3,0,19.767,965.5,0,-1.9476e-05,0.0014795,0,2.4841e-05,0.0012133,0,2.3891e-06,1.9896e-06,7,1,0.00325,0.00325,0,0
0,0,-6345.1,0,0,7622.3,0,0,-0.0063451,0,0,0.0076223,50.503,-9.4887,0.0052149,0,-0.091799,-0.17681,0,-15.735,1177.7,0,20.077,965.07,0,-1.9773e-05,0.0014799,0,2.523e-05,0.0012127,0,2.4263e-06,2.0197e-06,7,1,0.0033,0.0033,0,0
0,0,-6439.9,0,0,7739,0,0,-0.0064399,0,0,0.007739,52.142,-9.6326,0.0053738,0,-0.095035,-0.1821,0,-15.972,1178,0,20.387,964.65,0,-2.0071e-05,0.0014804,0,2.5619e-05,0.0012122,0,2.4634e-06,2.0499e-06,7,1,0.00335,0.00335,0,0
0,0,-6534.6,0,0,7855.7,0,0,-0.0065346,0,0,0.0078557,53.781,-9.7764,0.0055326,0,-0.098271,-0.18739,0,-16.208,1178.4,0,20.697,964.22,0,-2.0368e-05,0.0014808,0,2.6009e-05,0.0012117,0,2.5006e-06,2.08e-06,7,1,0.0034,0.0034,0,0
0,0,-6629.4,0,0,7972.4,0,0,-0.0066294,0,0,0.0079724,55.42,-9.9202,0.0056915,0,-0.10151,-0.19269,0,-16.445,1178.8,0,21.007,963.8,0,-2.0665e-05,0.0014813,0,2.6398e-05,0.0012111,0,2.5377e-06,2.1102e-06,7,1,0.00345,0.00345,0,0
0,0,-6724.1,0,0,8089.1,0,0,-0.0067241,0,0,0.0080891,57.059,-10.064,0.0058504,0,-0.10474,-0.19798,0,-16.682,1179.1,0,21.317,963.37,0,-2.0963e-05,0.0014817,0,2.6788e-05,0.0012106,0,2.5748e-06,2.1403e-06,7,1,0.0035,0.0035,0,0
