"joule heating","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","Points:0","Points:1","Points:2"
2.1207e+05,9.1867e-07,0.005252,0,0.01232,0.025,0
2.1335e+05,9.2228e-07,0.0052529,0,0.012355,0.025,0
2.1464e+05,9.2589e-07,0.0052538,0,0.01239,0.025,0
2.1593e+05,9.295e-07,0.0052547,0,0.012425,0.025,0
2.1721e+05,9.3311e-07,0.0052556,0,0.01246,0.025,0
2.185e+05,9.3672e-07,0.0052566,0,0.012495,0.025,0
2.1978e+05,9.4034e-07,0.0052575,0,0.01253,0.025,0
2.2107e+05,9.4395e-07,0.0052584,0,0.012565,0.025,0
2.2235e+05,9.4756e-07,0.0052593,0,0.0126,0.025,0
2.2364e+05,9.5117e-07,0.0052603,0,0.012635,0.025,0
2.2492e+05,9.5478e-07,0.0052612,0,0.01267,0.025,0
2.2621e+05,9.5839e-07,0.0052621,0,0.012705,0.025,0
2.2749e+05,9.62e-07,0.005263,0,0.01274,0.025,0
2.2878e+05,9.6561e-07,0.0052639,0,0.012775,0.025,0
2.3006e+05,9.6922e-07,0.0052649,0,0.01281,0.025,0
2.3135e+05,9.7283e-07,0.0052658,0,0.012845,0.025,0
2.3264e+05,9.7644e-07,0.0052667,0,0.01288,0.025,0
2.3392e+05,9.8005e-07,0.0052676,0,0.012915,0.025,0
2.3521e+05,9.8366e-07,0.0052686,0,0.01295,0.025,0
2.3649e+05,9.8727e-07,0.0052695,0,0.012985,0.025,0
2.3778e+05,9.9088e-07,0.0052704,0,0.01302,0.025,0
2.3906e+05,9.9449e-07,0.0052713,0,0.013055,0.025,0
2.4035e+05,9.981e-07,0.0052722,0,0.01309,0.025,0
2.4163e+05,1.0017e-06,0.0052732,0,0.013125,0.025,0
2.4292e+05,1.0053e-06,0.0052741,0,0.01316,0.025,0
2.442e+05,1.0089e-06,0.005275,0,0.013195,0.025,0
2.4549e+05,1.0125e-06,0.0052759,0,0.01323,0.025,0
2.4678e+05,1.0162e-06,0.0052769,0,0.013265,0.025,0
2.4806e+05,1.0198e-06,0.0052778,0,0.0133,0.025,0
2.4935e+05,1.0234e-06,0.0052787,0,0.013335,0.025,0
2.5063e+05,1.027e-06,0.0052796,0,0.01337,0.025,0
2.5192e+05,1.0306e-06,0.0052806,0,0.013405,0.025,0
2.532e+05,1.0342e-06,0.0052815,0,0.01344,0.025,0
2.5449e+05,1.0378e-06,0.0052824,0,0.013475,0.025,0
2.5577e+05,1.0414e-06,0.0052833,0,0.01351,0.025,0
2.5706e+05,1.045e-06,0.0052842,0,0.013545,0.025,0
2.5834e+05,1.0486e-06,0.0052852,0,0.01358,0.025,0
2.5963e+05,1.0523e-06,0.0052861,0,0.013615,0.025,0
2.6091e+05,1.0559e-06,0.005287,0,0.01365,0.025,0
2.622e+05,1.0595e-06,0.0052879,0,0.013685,0.025,0
2.6349e+05,1.0631e-06,0.0052889,0,0.01372,0.025,0
2.6482e+05,1.0744e-06,0.0052899,0,0.013755,0.025,0
2.6619e+05,1.0918e-06,0.005291,0,0.01379,0.025,0
2.6757e+05,1.1091e-06,0.0052921,0,0.013825,0.025,0
2.6894e+05,1.1265e-06,0.0052933,0,0.01386,0.025,0
2.7031e+05,1.1439e-06,0.0052944,0,0.013895,0.025,0
2.7168e+05,1.1612e-06,0.0052955,0,0.01393,0.025,0
2.7306e+05,1.1786e-06,0.0052967,0,0.013965,0.025,0
2.7443e+05,1.196e-06,0.0052978,0,0.014,0.025,0
2.758e+05,1.2133e-06,0.0052989,0,0.014035,0.025,0
2.7718e+05,1.2307e-06,0.0053,0,0.01407,0.025,0
2.7855e+05,1.2481e-06,0.0053012,0,0.014105,0.025,0
2.7992e+05,1.2654e-06,0.0053023,0,0.01414,0.025,0
2.8141e+05,1.261e-06,0.0053037,0,0.014175,0.025,0
2.829e+05,1.2557e-06,0.0053051,0,0.01421,0.025,0
2.8438e+05,1.2503e-06,0.0053065,0,0.014245,0.025,0
2.8587e+05,1.245e-06,0.0053079,0,0.01428,0.025,0
2.8736e+05,1.2397e-06,0.0053093,0,0.014315,0.025,0
2.8885e+05,1.2343e-06,0.0053107,0,0.01435,0.025,0
2.9034e+05,1.229e-06,0.0053121,0,0.014385,0.025,0
2.9183e+05,1.2236e-06,0.0053135,0,0.01442,0.025,0
2.9332e+05,1.2183e-06,0.0053149,0,0.014455,0.025,0
2.948e+05,1.213e-06,0.0053163,0,0.01449,0.025,0
2.9629e+05,1.2076e-06,0.0053177,0,0.014525,0.025,0
2.9778e+05,1.2023e-06,0.0053191,0,0.01456,0.025,0
2.9927e+05,1.1969e-06,0.0053205,0,0.014595,0.025,0
3.0076e+05,1.1916e-06,0.0053219,0,0.01463,0.025,0
3.0225e+05,1.1863e-06,0.0053233,0,0.014665,0.025,0
3.0374e+05,1.1809e-06,0.0053247,0,0.0147,0.025,0
3.0523e+05,1.1756e-06,0.005326,0,0.014735,0.025,0
3.0671e+05,1.1703e-06,0.0053274,0,0.01477,0.025,0
3.082e+05,1.1649e-06,0.0053288,0,0.014805,0.025,0
3.0969e+05,1.1596e-06,0.0053302,0,0.01484,0.025,0
3.1118e+05,1.1542e-06,0.0053316,0,0.014875,0.025,0
